80/9/98/c|biggiemac42||cCN,cCI,cCX
102/11/110|Hersmunch||CN,CI,CX
103/10/114|Hersmunch||
107/11/85|Hersmunch||
113/11/84/c|Hersmunch||
116/11/79|Hersmunch||
118/10/109|jpgrossman||
125/9/78|jpgrossman||
127/9/77|jpgrossman||
144/9/65|longingforrest||
175/4/53|Hersmunch||NC,cNC
176/4/52|Hersmunch||
177/4/46|Hersmunch||
178/4/45|Hersmunch||
179/4/43|Hersmunch||
180/4/42|Hersmunch||
188/4/40|Hersmunch||
189/8/24|Grimmy||
202/5/33|GuiltyBystander||
202/6/27|GuiltyBystander||
231/4/26|Hersmunch||
233/4/22|Brian142857||
235/4/18|ImprobableFish||
240/4/15|ImprobableFish||NX,cNX
313/4/14|ImprobableFish||NI,IC,IN,IX,cNI,cIC,cIN,cIX
