119/11/61/c|LowLevel-/LongingForRest/Hersmunch||cCN,cCI,cCX,hCN,hCI,hCX
120/11/58/c|12345AIII||
121/11/50/c|12345AIII||
122/11/33|LowLevel-||CN,CI,CX
163/10/45/c|12345AIII||
163/10/48|trevdak||
166/10/43/c|12345AIII||
166/10/44|LongingForRest/trevdak||
167/9/41/c|12345AIII||
167/9/42|LongingForRest/trevdak||
168/9/41|LongingForRest/trevdak||
169/7/39/c|12345AIII||
173/7/40|LongingForRest||
176/7/38/c|12345AIII||
177/7/39|12345AIII||
185/7/38|12345AIII||
194/10/36|12345AIII||
197/7/31|LongingForRest||
203/7/30|gravypod/LongingForRest||
234/6/36|Brian142857/LongingForRest||NC,cNC,hNC
237/6/33/c|12345AIII||
237/6/34|Brian142857||
244/7/26|LongingForRest||
260/6/31|LongingForRest||
267/6/25|LowLevel-||NX,cNX,hNX
269/7/24|LongingForRest||
303/6/23|Hersmunch||
335/6/22|Brian142857||
397/6/21|Hersmunch||NI,IC,IN,IX,cNI,cIC,cIN,cIX,hNI,hIC,hIN,hIX
