27/10/95/h|biggiemac42||hCN,hCI,hCX
30/8/96/h|longingforrest||
31/8/86/h|longingforrest||
32/8/83/h|longingforrest||
33/8/82/h|longingforrest||
37/8/80/h|longingforrest||
38/8/79/h|longingforrest||
195/9/49|LowLevel-||CN,CI,CX,cCN,cCI,cCX
205/9/47|Hersmunch||
207/9/42|Hersmunch||
208/8/34|Hersmunch||
225/6/36/c|longingforrest||
233/6/33|longingforrest||
234/6/31|Hersmunch||
269/4/35|jpgrossman||NC,cNC,hNC
278/4/33|jpgrossman||
279/5/29|Hersmunch||
289/5/27|Hersmunch||
324/4/32|Hersmunch||
332/4/30|Hersmunch||
334/4/26|Hersmunch||NX,cNX,hNX
587/4/23|Brian142857||
648/4/21|Hersmunch/Brian142857|https://imgur.com/FQiUu8t|NI,IC,IN,IX,cNI,cIC,cIN,cIX,hNI,hIC,hIN,hIX
