185/9/87/c|Amitai||cCN,cCI,cCX
190/7/49|jpgrossman||CN,CI,CX
191/7/50/a|jpgrossman||aCN,aCI,aCX
199/5/29|jpgrossman||
223/5/24|Hersmunch||
226/4/34|ImprobableFish||
228/4/51/a|jpgrossman||aNC
230/4/33|ImprobableFish||
231/8/47/a|Hersmunch||
233/4/27|Hersmunch||
233/4/47/a|jpgrossman||aNX
234/5/23|Hersmunch||
252/3/26|LowLevel-||NC,cNC
259/4/43/a|Hersmunch||
261/3/25/c|Hersmunch||
263/3/25|Hersmunch||
265/3/24|Brian142857||
272/3/17|ImprobableFish||
280/3/16|ImprobableFish||
294/3/12|Brian142857||
313/4/9|isaac.wass||
314/3/8|dionadar||NI,NX,IC,IN,IX,cNI,cNX,cIC,cIN,cIX
485/6/31/a|Hersmunch||
485/7/30/a|Hersmunch||
594/5/40/a|GuiltyBystander||
606/4/40/a|GuiltyBystander||aNI
653/6/30/a|Hersmunch||
653/7/29/a|Hersmunch||
685/5/26/a|jpgrossman||aIC,aIN,aIX
