447/7/90/c|Hersmunch/12345AIII||cCN,cCI,cCX,hCN,hCI,hCX
450/7/84/c|Hersmunch||
453/7/81/c|Hersmunch||
464/7/79/c|Hersmunch||
464/7/99|Hersmunch||CN,CI,CX
465/7/74/c|Hersmunch||
466/7/96|Hersmunch||
473/7/70/c|Hersmunch||
483/7/69/c|Hersmunch||
485/7/68/c|Hersmunch||
492/7/94|Hersmunch||
492/8/89|Hersmunch||
495/7/64/c|Hersmunch||
495/7/91|12345AIII||
504/7/63/c|Hersmunch||
505/7/90|Hersmunch||
506/7/89|Hersmunch||
507/7/79|Hersmunch||
517/7/77|Hersmunch||
1051/5/53|LongingForRest||
1052/5/52|LongingForRest||
1061/5/51|LongingForRest||
1086/5/50|LongingForRest||
1291/4/58|LongingForRest||
1299/4/39|HikariToyama/Hersmunch/LongingForRest||
1300/4/38|HikariToyama/Hersmunch/LongingForRest||
1303/4/37|HikariToyama/Hersmunch/LongingForRest||
1304/4/36|HikariToyama/Hersmunch/LongingForRest||
1330/4/35|HikariToyama/Hersmunch/LongingForRest||
1336/4/34|HikariToyama/Hersmunch/LongingForRest||
1361/3/44/c|jpgrossman||cNC,hNC
1398/3/44|jpgrossman||NC
1416/4/30|LongingForRest/Hersmunch||
1417/4/29|LongingForRest/Hersmunch||
1422/3/42/c|Hersmunch/LongingForRest||
1448/4/28|LongingForRest||
1449/4/27|Hersmunch||
1454/3/41/c|Hersmunch||
1455/3/40/c|Hersmunch||
1459/3/42|Hersmunch||
1481/3/35/c|Hersmunch||cNX,hNX
1491/3/40|Hersmunch||
1503/4/26|Hersmunch||
1526/3/36|Hersmunch||
1531/3/35|Hersmunch||NX
1650/3/34/c|Hersmunch||
1672/4/24|LongingForRest/Hersmunch||IC,IN,IX,cIC,cIN,cIX,hIC,hIN,hIX
1726/3/34|Hersmunch||
2044/3/32/c|Hersmunch||
2054/3/31/c|Hersmunch||
2066/3/32|Hersmunch||
2072/3/31|Hersmunch||
2442/3/30/c|LongingForRest||
2454/3/29/c|LongingForRest||
2505/3/28/c|LongingForRest||
2520/3/30|LongingForRest||
2526/3/29|LongingForRest||
2577/3/28|LongingForRest||
6787/3/27/c|LongingForRest||
6931/3/27|LongingForRest||
11540/3/26/c|LongingForRest/Hersmunch/12345AIII||cNI,hNI
13982/3/26|LongingForRest/Hersmunch||NI
