198/9/77/c|Brian142857/LongingForRest/Hersmunch||cCN,cCI,cCX,hCN,hCI,hCX
199/9/75/c|Brian142857/LongingForRest/Hersmunch||
200/9/71/c|Brian142857/LongingForRest/Hersmunch||
202/9/69/c|Brian142857/LongingForRest/Hersmunch||
225/9/66/c|Brian142857/LongingForRest/Hersmunch||
226/9/65/c|Brian142857/LongingForRest/Hersmunch||
234/8/58/c|LongingForRest||
237/9/66|Brian142857/LongingForRest/Hersmunch||CN,CI,CX
238/8/57/c|LongingForRest||
239/8/56/c|LongingForRest||
239/9/64|Brian142857/LongingForRest/Hersmunch||
245/8/54/c|LongingForRest||
245/8/66|Brian142857/LongingForRest/Hersmunch||
247/8/62|Brian142857/LongingForRest/Hersmunch||
250/7/55/c|LongingForRest||
251/7/54/c|12345AIII||
258/8/46/c|LongingForRest/Brian142857||
266/8/57|LongingForRest||
267/8/45/c|LongingForRest/Brian142857||
268/8/44/c|12345AIII||
270/7/53/c|12345AIII||
274/8/50|12345AIII||
276/8/48|LongingForRest/Brian142857||
281/8/47|LongingForRest/Brian142857||
282/8/46|LongingForRest/Brian142857||
284/8/41/c|12345AIII||
288/6/54/c|LongingForRest||
298/7/54|Brian142857||
302/5/40/c|LongingForRest/Brian142857|https://i.imgur.com/Oi7TwNI.png|
307/5/39/c|12345AIII||
313/5/38/c|LongingForRest||
314/4/42/c|LongingForRest/Brian142857||cNC,hNC
314/6/36/c|LongingForRest||
315/4/41/c|LongingForRest/Brian142857||
315/5/34/c|LongingForRest||
317/4/54|jpgrossman||NC
318/4/51|Brian142857/LongingForRest||
320/4/36/c|12345AIII||cNX,hNX
321/4/46|Brian142857/LongingForRest||
340/4/43|Brian142857/LongingForRest||
345/4/42|Brian142857/LongingForRest|https://i.imgur.com/jHeX6SR.png|
352/4/41|Brian142857/LongingForRest||
359/4/39|Brian142857/LongingForRest||
377/4/35|Brian142857||
392/4/32|Hersmunch||NX
461/5/30/c|LongingForRest||
462/5/29/c|LongingForRest||
467/5/28/c|LongingForRest||
508/4/29|12345AIII||
534/5/26/c|LongingForRest||
536/5/24/c|LongingForRest||
538/4/27/c|12345AIII||
600/6/26|LongingForRest||
624/4/26|Brian142857||
649/4/25|Hersmunch||NI,IC,IN,IX,cNI,hNI
789/5/23/c|LongingForRest||cIC,cIN,cIX,hIC,hIN,hIX
