140/10/54|jpgrossman||CN,CI,CX,cCN,cCI,cCX,hCN,hCI,hCX
146/6/65/c|12345AIII||
146/6/67|LongingForRest||
146/7/60/c|12345AIII||
146/7/61|LongingForRest||
148/6/61/c|12345AIII||
148/6/62|LongingForRest||
148/7/56|LongingForRest||
151/6/57|LongingForRest||
151/7/51|LongingForRest||
153/6/52|LongingForRest||
181/6/41|LongingForRest||
181/7/36|LongingForRest||
185/6/37|LongingForRest||
187/7/35|LongingForRest||
188/7/32|LongingForRest||
190/6/33|LongingForRest||
201/6/20|LongingForRest||
256/5/17|Hersmunch||NC,cNC,hNC
259/5/16|Hersmunch||
262/5/15|Hersmunch||NX,cNX,hNX
282/5/14|Hersmunch/12345ieee||NI,cNI,hNI
294/6/13|LongingForRest/12345AIII||IC,IN,IX,cIC,cIN,cIX,hIC,hIN,hIX
