24/6/29/h|Hersmunch||hCN,hCI,hCX
139/6/40/c|trevdak/Hersmunch||cCN,cCI,cCX
140/4/37/c|trevdak/Hersmunch||
144/6/35/c|trevdak/Hersmunch||
145/4/32/c|trevdak/Hersmunch||
152/4/30/c|trevdak/Hersmunch||
160/4/28/c|trevdak/Hersmunch||
177/6/43|trevdak/Hersmunch||CN,CI,CX
185/6/41|trevdak/Hersmunch||
187/4/41|trevdak/Hersmunch||
188/4/39|trevdak/Hersmunch||
196/4/37|trevdak||
197/4/31|biggiemac42||
202/4/26/c|biggiemac42||
207/4/30|biggiemac42||
213/4/25/c|biggiemac42||
215/3/37/c|trevdak/12345ieee/Hersmunch||cNC,hNC
219/4/29|biggiemac42/LongingForRest||IC,IN,IX
222/3/35/c|trevdak/12345ieee/Hersmunch||
232/3/43|trevdak/Hersmunch||NC
239/3/31/c|biggiemac42/LongingForRest/trevdak/Hersmunch||cNI,cNX,hNI,hNX
239/3/42|trevdak/Hersmunch||
244/4/24/c|biggiemac42||cIC,cIN,cIX,hIC,hIN,hIX
279/3/33|biggiemac42/LongingForRest||
284/3/31|biggiemac42/LongingForRest||NI,NX
